log_instance,allowed_time,time_to_build_model,num_variables,num_constraints,total_solve_time,time_to_first_solution,first_solution_value,gap_to_optimum,best_solution_value,best_obj_15min,checker_total_objective
/data/storage/PRJ/C_11.json,900,170.45,35592,32565,731.24,352.7993941307068,6765.05,0.6620356150405039,6616.329411764706,"5749,957352",6470.718137254902
/data/storage/PRJ/A_set/A_04.json,900,187.28,510899,451917,142.42,97.48192405700684,2467.8511232876713,0.0001342201400310692,2085.925753424657,"2085,876054",2085.9257534246576
/data/storage/PRJ/A_set/A_08.json,900,2.21,11761,11777,898.70,0.9438490867614746,784.0438235294116,0.13004107945208362,744.727058823529,"744,2932352",747.0255882352942
/data/storage/PRJ/B_set_rounded/B_09.json,1800,15.13,14788,12190,1785.89,51.29878115653992,11010.30357142857,0.788212379510202,8272.970238095237,"7491,753571",8216.527380952382
/data/storage/PRJ/A_set/A_01.json,1800,4.91,31884,22615,2.77,1.8745641708374023,12816.342111111113,0.00011497418562401522,1767.844222222222,"1767,815611",1767.8442222222222
/data/storage/PRJ/C_06.json,1800,72.19,37211,29972,1733.11,593.2240688800812,9845.966037737595,0.5457074626079799,9727.332075471695,"8396,000943",8787.308490566038
/data/storage/PRJ/B_set_rounded/B_15.json,1800,662.84,236223,207101,1141.66,,,,,"22566,003400",
/data/storage/PRJ/C_04.json,900,110.83,71012,66267,796.56,77.47784996032715,44175.27641509433,0.7165716304070513,38723.959433962256,"37585,731132",38672.89905660378
/data/storage/PRJ/A_set/A_07.json,1800,0.16,1345,1119,2.96,0.04194307327270508,3027.1823529411763,9.676097753793333e-05,2075.977058823529,"2272,782274",2350.697382352941
/data/storage/PRJ/A_set/A_10.json,1800,2.01,11720,8057,1798.14,0.7776670455932617,3419.332578616352,0.027805268475903703,2903.913459119487,"2994,848735",3083.833194968553
/data/storage/PRJ/B_set_rounded/B_03.json,900,164.44,71002,66303,736.40,,,,,"35279,530189",41704.627358490565
/data/storage/PRJ/B_set_rounded/B_05.json,1800,18.74,77499,69905,1782.64,16.580286026000977,3297.087735849056,0.6338009956519903,3219.380188679114,"2397,099057",3195.259433962264
/data/storage/PRJ/A_set/A_13.json,900,6.86,32564,26004,893.56,7.745754957199097,15929.80201388889,0.0007084192722426866,1998.816337962968,"1998,662162",1998.8148287037036
/data/storage/PRJ/B_set_rounded/B_07.json,900,72.61,34434,28735,832.52,149.73772811889648,9229.18396226415,0.5344267030467492,9103.537735849057,"7564,034906",8169.892452830189
/data/storage/PRJ/B_set_rounded/B_05.json,900,34.95,77499,69905,866.64,25.534537076950073,3297.087735849056,0.5984013278448509,2935.6018867924436,"2397,099057",3195.259433962264
/data/storage/PRJ/A_set/A_02.json,900,26.71,26602,22550,873.92,34.143749952316284,237317.7553888889,0.5562861529735404,4739.382222221886,"4671,376611",4707.764166666668
/data/storage/PRJ/C_04.json,1800,58.39,71012,66267,1746.22,85.18303894996643,44175.27641509433,0.7163389190654214,38692.530188679244,"37585,731132",38672.89905660378
/data/storage/PRJ/B_set_rounded/B_04.json,1800,68.54,71002,66303,1733.72,74.66768598556519,41394.42452830188,0.6832843529549745,36117.10094339622,"34827,869811",36099.18301886792
/data/storage/PRJ/A_set/A_15.json,900,15.60,28755,24767,884.84,21.4172580242157,52273.987075471705,0.18193610324111142,2385.0822641508908,"2268,569150",2315.967547169812
/data/storage/PRJ/B_set_rounded/B_12.json,900,304.01,96218,80214,600.19,,,,,"37602,966667",
/data/storage/PRJ/B_set_rounded/B_02.json,1800,34.77,19985,17252,1767.40,234.48255681991577,5923.787735849058,0.6569420563055401,5497.967924528301,"4302,774528",5167.8490566037735
/data/storage/PRJ/B_set_rounded/B_11.json,1800,34.77,20041,17527,1766.77,266.00665402412415,4647.697169811708,0.6064004929921855,4262.358490566019,"3626,271698",4065.1443396226414
/data/storage/PRJ/A_set/A_12.json,900,1.10,6115,4400,902.27,0.1572129726409912,1049.7423270440252,0.027910578758751445,749.9775628930818,"789,6349276",819.5353710691825
/data/storage/PRJ/C_07.json,1800,11.35,14759,12038,1789.32,32.91346287727356,7919.971428571428,0.765912476949441,7529.283333333335,"6083,270238",7523.709523809524
/data/storage/PRJ/A_set/A_05.json,900,89.16,87013,65103,812.34,181.11106705665588,30441.618983516488,0.07888982192227159,644.3131169071901,"635,2217857",640.1126373626375
/data/storage/PRJ/B_set_rounded/B_11.json,900,80.35,20041,17527,820.05,455.6492509841919,4647.697169811708,0.6363731055750032,4546.942452829962,"3626,271698",4065.1443396226414
/data/storage/PRJ/A_set/A_11.json,900,13.38,40460,38734,887.79,7.677141904830933,10453.776226415093,0.1466315690364561,514.7545283018585,"495,2557702",517.7300943396226
/data/storage/PRJ/C_08.json,1800,34.31,24539,20156,1767.48,253.41445803642273,12672.916000000014,0.5263468202905932,12672.916000000014,"11162,836",11621.056
/data/storage/PRJ/B_set_rounded/B_07.json,1800,77.62,34434,28735,1726.03,128.17604804039001,9229.18396226415,0.5206091855642105,8856.97358490566,"7564,034906",8169.892452830189
/data/storage/PRJ/B_set_rounded/B_14.json,900,857.63,118894,93884,63.16,,,,,"11905,109948",
/data/storage/PRJ/B_set_rounded/B_10.json,1800,31.47,23006,18979,1769.93,162.4086308479309,12170.688000000091,0.5430392189019729,12129.38,"10637,620000",11030.524
/data/storage/PRJ/C_01.json,1800,38.15,21950,19008,1762.25,300.5859339237213,11375.133962264152,0.7993533144900523,10903.30283018868,"8515,903773",10685.891509433965
/data/storage/PRJ/B_set_rounded/B_06.json,900,79.61,23430,20697,821.02,113.19198489189148,5573.087735849057,0.6624037543043507,5457.870754716904,"4287,894340",5038.438679245282
/data/storage/PRJ/B_set_rounded/B_01.json,1800,35.31,20087,17401,1765.62,404.94056701660156,4881.8056603773575,0.6574135912313865,4815.769811320744,"3986,202830",4780.991509433962
/data/storage/PRJ/B_set_rounded/B_08.json,1800,20.80,20061,17451,1784.21,21.22113800048828,10045.922619047618,0.7574681145644583,8509.453571428568,"7435,719048",8497.791666666666
/data/storage/PRJ/A_set/A_14.json,900,15.45,20116,16128,884.88,18.952680110931396,12526.336698113208,0.15812140963297855,2333.510943396223,"2264,124321",2325.6912264150947
/data/storage/PRJ/A_set/A_03.json,900,3.55,16224,11043,0.74,None,None,None,848.1786111111111,"848,1786111",848.1786111111112
/data/storage/PRJ/C_10.json,900,352.20,101573,89040,550.27,,,,,"43342,488725",
/data/storage/PRJ/A_set/A_09.json,900,0.31,734,800,39.00,0.058632850646972656,2224.5329411764706,0.0013414884655426082,1351.1732843137254,"1507,284784",1553.5371862745096
/data/storage/PRJ/C_05.json,1800,19.51,77499,69905,1781.96,17.038334846496582,4772.156603773585,0.7261526415486967,4349.432075471697,"3166,889622",4352.322641509433
/data/storage/PRJ/A_set/A_12.json,1800,0.90,6115,4400,1805.24,0.12070393562316895,1049.7423270440252,0.02748591097790529,749.9775628930818,"789,6349276",819.5353710691825
/data/storage/PRJ/C_02.json,900,89.41,21922,18756,812.47,330.38936614990234,4162.901886792504,0.4879053843467394,4127.779245283018,"3541,653773",3656.207547169811
/data/storage/PRJ/B_set_rounded/B_01.json,900,36.46,20087,17401,865.35,464.01554894447327,4881.8056603773575,0.6577118794343131,4832.401886792452,"3986,202830",4780.991509433962
/data/storage/PRJ/A_set/A_10.json,900,3.58,11720,8057,896.59,1.2746481895446777,3419.332578616352,0.03259627737522012,2903.919481132075,"2994,848735",3083.833194968553
/data/storage/PRJ/A_set/A_06.json,900,20.31,65355,43797,7.39,6.165492057800293,9034.900219780222,0.00045193740799849504,590.6273626373627,"590,6235989",590.6273626373627
/data/storage/PRJ/A_set/A_06.json,1800,20.56,65355,43797,7.69,6.3442299365997314,9034.900219780222,0.00045193740799849504,590.6273626373627,"590,6235989",590.6273626373627
/data/storage/PRJ/C_08.json,900,43.34,24539,20156,858.38,348.3633460998535,12672.916000000014,0.5244488654927227,12622.143999999998,"11162,836",11621.056
/data/storage/PRJ/B_set_rounded/B_08.json,900,38.71,20061,17451,862.16,45.47073817253113,10045.922619047618,0.7729051376190179,8627.020238095236,"7435,719048",8497.791666666666
/data/storage/PRJ/A_set/A_03.json,1800,3.56,16224,11043,0.74,None,None,None,848.1786111111111,"848,1786111",848.1786111111112
/data/storage/PRJ/A_set/A_05.json,1800,84.63,87013,65103,1723.02,184.11977696418762,30441.618983516488,0.07341009488607268,640.9141208791209,"635,2217857",640.1126373626375
/data/storage/PRJ/A_set/A_08.json,1800,3.24,11761,11777,1798.00,1.2494938373565674,784.0438235294116,0.12210064826671063,740.4170588234412,"744,2932352",747.0255882352942
/data/storage/PRJ/C_09.json,1800,36.58,20931,18106,1764.84,135.0794539451599,7927.057547169812,0.7540457257739722,7636.949999999808,"5586,979245",6684.670754716981
/data/storage/PRJ/C_09.json,900,35.90,20931,18106,865.86,118.48990201950073,7927.057547169812,0.7644122325814037,7651.456603773584,"5586,979245",6684.670754716981
/data/storage/PRJ/C_03.json,900,160.14,71093,66889,740.61,,,,,"33511,7",
/data/storage/PRJ/B_set_rounded/B_04.json,900,95.27,71002,66303,805.47,125.7666928768158,41394.42452830188,0.689986708454581,36852.5396226415,"34827,869811",36099.18301886792
/data/storage/PRJ/B_set_rounded/B_10.json,900,21.73,23006,18979,880.34,152.82649993896484,12170.688000000091,0.544214401706127,12160.654000000017,"10637,620000",11030.524
/data/storage/PRJ/A_set/A_04.json,1800,232.12,510899,451917,171.29,125.86743807792664,2467.8511232876713,0.0001342201400310692,2085.925753424657,"2085,876054",2085.9257534246576
/data/storage/PRJ/C_06.json,900,104.03,37211,29972,847.99,582.9012188911438,9845.966037737595,0.5507395780508207,9784.195283023304,"8396,000943",8787.308490566038
/data/storage/PRJ/A_set/A_01.json,900,4.86,31884,22615,2.81,1.9041340351104736,12816.342111111113,0.00011497418562401522,1767.844222222222,"1767,815611",1767.8442222222222
/data/storage/PRJ/A_set/A_13.json,1800,10.96,32564,26004,1789.32,11.691679954528809,15929.80201388889,0.00052633300214631,1998.8148287037025,"1998,662162",1998.8148287037036
/data/storage/PRJ/A_set/A_15.json,1800,19.52,28755,24767,1780.96,29.08036994934082,52273.987075471705,0.15482552862431984,2340.0176415093392,"2268,569150",2315.967547169812
/data/storage/PRJ/B_set_rounded/B_13.json,1800,72.40,34623,28993,1742.29,143.3444540500641,5827.720098039215,0.5969439276030687,5542.100490196078,"5024,492647",5510.715196078431
/data/storage/PRJ/C_02.json,1800,38.25,21922,18756,1765.02,420.21838903427124,4162.901886792504,0.48832029966661683,4131.126415094179,"3541,653773",3656.207547169811
/data/storage/PRJ/B_set_rounded/B_09.json,900,24.22,14788,12190,876.12,90.23343300819397,11010.30357142857,0.8463398969107885,10737.651190476188,"7491,753571",8216.527380952382
/data/storage/PRJ/A_set/A_02.json,1800,26.54,26602,22550,1774.56,35.516369104385376,237317.7553888889,0.5535114921940333,4709.929777777767,"4671,376611",4707.764166666668
/data/storage/PRJ/C_12.json,1800,831.34,118859,93642,972.75,,,,,"12721,133246",
/data/storage/PRJ/B_set_rounded/B_14.json,1800,707.56,118894,93884,1272.54,,,,,"11905,109948",
/data/storage/PRJ/A_set/A_14.json,1800,10.94,20116,16128,1789.54,13.391119003295898,12526.336698113208,0.13566961502990785,2316.8941509433957,"2264,124321",2325.6912264150947
/data/storage/PRJ/B_set_rounded/B_06.json,1800,28.93,23430,20697,1772.93,54.21360397338867,5573.087735849057,0.6450555649321212,5297.970754716979,"4287,894340",5038.438679245282
/data/storage/PRJ/C_05.json,900,18.09,77499,69905,884.20,16.222102165222168,4772.156603773585,0.7014501991381812,3989.5537735849057,"3166,889622",4352.322641509433
/data/storage/PRJ/A_set/A_07.json,900,0.16,1345,1119,2.97,0.04322195053100586,3027.1823529411763,9.676097753793333e-05,2075.977058823529,"2272,782274",2350.697382352941
/data/storage/PRJ/C_03.json,1800,57.05,71093,66889,1745.15,,,,,"33511,7",
/data/storage/PRJ/B_set_rounded/B_13.json,900,81.38,34623,28993,819.61,212.2020251750946,5827.720098039215,0.600908683186817,5588.476960784312,"5024,492647",5510.715196078431
/data/storage/PRJ/B_set_rounded/B_12.json,1800,154.67,96218,80214,1646.40,,,,,"37602,966667",
/data/storage/PRJ/C_01.json,900,28.23,21950,19008,874.53,222.5318260192871,11375.133962264152,0.7975935876575244,10871.32358490566,"8515,903773",10685.891509433965
/data/storage/PRJ/B_set_rounded/B_03.json,1800,70.53,71002,66303,1733.27,500.33086109161377,41986.05849056604,0.7272403419827216,41986.058490566036,"35279,530189",41704.627358490565
/data/storage/PRJ/C_07.json,900,24.52,14759,12038,875.94,57.47883486747742,7919.971428571428,0.765912476949441,7529.283333333335,"6083,270238",7523.709523809524
/data/storage/PRJ/A_set/A_11.json,1800,18.60,40460,38734,1782.03,10.215427875518799,10453.776226415093,0.163251981799267,524.3241509433396,"495,2557702",517.7300943396226
/data/storage/PRJ/B_set_rounded/B_02.json,900,73.22,19985,17252,829.69,466.7207679748535,5923.787735849058,0.673681947125713,5656.5924528301875,"4302,774528",5167.8490566037735
/data/storage/PRJ/A_set/A_09.json,1800,0.15,734,800,0.95,0.033347129821777344,2224.5329411764706,0.0013414884655426082,1351.1732843137254,"1507,284784",1553.5371862745096
